cell_id,run_accession,clinical_id,candidate_timepoint,timepoint_confidence,classification_basis,sample_accession,sample_alias,library_strategy
KTN615__KTN6150cell235,SRR5960800,KTN615,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07545651,KTN6150cell235,RNA-Seq
KTN615__KTN6150cell236,SRR5960801,KTN615,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07545652,KTN6150cell236,RNA-Seq
KTN615__KTN6150cell233,SRR5960802,KTN615,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07545649,KTN6150cell233,RNA-Seq
KTN615__KTN6150cell234,SRR5960803,KTN615,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07545650,KTN6150cell234,RNA-Seq
KTN615__KTN6150cell231,SRR5960804,KTN615,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07545647,KTN6150cell231,RNA-Seq
KTN615__KTN6150cell232,SRR5960805,KTN615,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07545648,KTN6150cell232,RNA-Seq
KTN615__KTN6152cell18,SRR5960819,KTN615,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07545719,KTN6152cell18,RNA-Seq
KTN615__KTN6152cell19,SRR5960820,KTN615,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07545720,KTN6152cell19,RNA-Seq
KTN615__KTN6152cell16,SRR5960821,KTN615,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07545717,KTN6152cell16,RNA-Seq
KTN615__KTN6152cell17,SRR5960822,KTN615,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07545718,KTN6152cell17,RNA-Seq
KTN615__KTN6152cell22,SRR5960823,KTN615,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07545723,KTN6152cell22,RNA-Seq
KTN615__KTN6152cell23,SRR5960824,KTN615,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07545724,KTN6152cell23,RNA-Seq
KTN615__KTN6152cell20,SRR5960825,KTN615,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07545721,KTN6152cell20,RNA-Seq
KTN615__KTN6152cell21,SRR5960826,KTN615,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07545722,KTN6152cell21,RNA-Seq
KTN615__KTN6152cell24,SRR5960829,KTN615,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07545725,KTN6152cell24,RNA-Seq
KTN615__KTN6152cell25,SRR5960830,KTN615,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07545726,KTN6152cell25,RNA-Seq
KTN132__KTN1322cell443,SRR5961314,KTN132,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07544411,KTN1322cell443,RNA-Seq
KTN132__KTN1322cell442,SRR5961315,KTN132,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07544410,KTN1322cell442,RNA-Seq
KTN132__KTN1322cell439,SRR5961316,KTN132,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07544407,KTN1322cell439,RNA-Seq
KTN132__KTN1322cell438,SRR5961317,KTN132,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07544406,KTN1322cell438,RNA-Seq
KTN132__KTN1322cell441,SRR5961318,KTN132,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07544409,KTN1322cell441,RNA-Seq
KTN132__KTN1322cell440,SRR5961319,KTN132,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07544408,KTN1322cell440,RNA-Seq
KTN132__KTN1322cell435,SRR5961320,KTN132,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07544403,KTN1322cell435,RNA-Seq
KTN132__KTN1322cell434,SRR5961321,KTN132,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07544402,KTN1322cell434,RNA-Seq
KTN132__KTN1322cell437,SRR5961322,KTN132,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07544405,KTN1322cell437,RNA-Seq
KTN132__KTN1322cell436,SRR5961323,KTN132,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07544404,KTN1322cell436,RNA-Seq
KTN132__KTN1320cell71,SRR5967478,KTN132,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07552330,KTN1320cell71,RNA-Seq
KTN132__KTN1320cell72,SRR5967479,KTN132,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07552331,KTN1320cell72,RNA-Seq
KTN132__KTN1320cell73,SRR5967480,KTN132,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07552332,KTN1320cell73,RNA-Seq
KTN132__KTN1320cell74,SRR5967481,KTN132,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07552333,KTN1320cell74,RNA-Seq
KTN132__KTN1320cell75,SRR5967482,KTN132,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07552334,KTN1320cell75,RNA-Seq
KTN132__KTN1320cell76,SRR5967483,KTN132,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07552335,KTN1320cell76,RNA-Seq
KTN132__KTN1320cell77,SRR5967484,KTN132,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07552336,KTN1320cell77,RNA-Seq
KTN132__KTN1320cell78,SRR5967485,KTN132,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07552337,KTN1320cell78,RNA-Seq
KTN132__KTN1320cell79,SRR5967486,KTN132,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07552338,KTN1320cell79,RNA-Seq
KTN132__KTN1320cell80,SRR5967487,KTN132,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07552339,KTN1320cell80,RNA-Seq
KTN302__KTN3020cell111,SRR5968377,KTN302,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07554047,KTN3020cell111,RNA-Seq
KTN302__KTN3020cell112,SRR5968378,KTN302,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07554048,KTN3020cell112,RNA-Seq
KTN302__KTN3020cell300,SRR5968379,KTN302,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07554236,KTN3020cell300,RNA-Seq
KTN302__KTN3020cell299,SRR5968380,KTN302,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07554235,KTN3020cell299,RNA-Seq
KTN302__KTN3020cell115,SRR5968381,KTN302,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07554051,KTN3020cell115,RNA-Seq
KTN302__KTN3020cell116,SRR5968382,KTN302,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07554052,KTN3020cell116,RNA-Seq
KTN302__KTN3020cell117,SRR5968383,KTN302,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07554053,KTN3020cell117,RNA-Seq
KTN302__KTN3020cell118,SRR5968384,KTN302,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07554054,KTN3020cell118,RNA-Seq
KTN302__KTN3020cell294,SRR5968385,KTN302,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07554230,KTN3020cell294,RNA-Seq
KTN302__KTN3020cell293,SRR5968386,KTN302,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07554229,KTN3020cell293,RNA-Seq
